n,m,F,phy_mob_a,beta_p,soc_mob_a,beta_s,r,s,tolerance,q,theta,init_random_prob,radius,noise_rate,num_joint_activities,pool_multiplier,run,time,avg_path_length,dia,avg_degree,cluster_coeff,corr_soc_phy,corr_soc_cul,corr_phy_cul,num_cultures,size_culture,overall_diversity,ass,num_components,largest_component,within_component_diversity,between_component_diversity,component_diversity_ratio,num_communities,largest_community,within_community_diversity,between_community_diversity,community_diversity_ratio,social_clustering,social_closeness,physical_closeness,overall_closeness,physicalStability,socialStability,culturalStability,num_culture_components,num_regions,max_region_size,num_cooperators,num_defectors,num_strategy_regions,max_strategy_region_size,avg_num_players,avg_num_cooperators,avg_did_cooperate,avg_cooperators_over_players,avg_did_cooperate_over_cooperators,avg_payoff,avg_defector_payoff,avg_cooperator_payoff,avg_mpcr,avg_pool_multiplier
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.0001,5,0.6,1,30000000,nan,nan,nan,nan,nan,nan,nan,0.1891,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.6534,0.0166,4,9996,0.0002,0.9996,7.95165,0.0186609,0.0184355,0.00627967,nan,0.00268383,0.000118216,0.00256561,0.6,4.77099
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.0001,5,0.6,1,40000000,nan,nan,nan,nan,nan,nan,nan,0.1427,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.6331,0.0101,4,9996,0.0002,0.9996,8.30025,0.0143401,0.0141718,0.00478956,nan,0.00210666,8.82485e-05,0.00201841,0.6,4.98015
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.0001,5,0.6,1,50000000,nan,nan,nan,nan,nan,nan,nan,0.1072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.5811,0.0089,0,10000,0.0001,1.0,8.56172,0.0116262,0.0114916,0.00386714,nan,0.00172746,7.0591e-05,0.00165687,0.6,5.13703
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.0001,5,0.6,1,60000000,nan,nan,nan,nan,nan,nan,nan,0.0698,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.5264,0.0168,0,10000,0.0001,1.0,8.7735,0.00966848,0.00955656,0.00321595,nan,0.00143657,5.87041e-05,0.00137787,0.6,5.2641
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.0001,5,0.6,1,70000000,nan,nan,nan,nan,nan,nan,nan,0.0617,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.5308,0.0158,0,10000,0.0001,1.0,8.94993,0.00827504,0.00817924,0.00275246,nan,0.00122953,5.02435e-05,0.00117929,0.6,5.36996
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.0001,5,0.6,1,80000000,nan,nan,nan,nan,nan,nan,nan,0.0568,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.4664,0.0386,0,10000,0.0001,1.0,9.09466,0.00723264,0.00714891,0.00240573,nan,0.00107465,4.39144e-05,0.00103073,0.6,5.45679
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.0001,5,0.6,1,90000000,nan,nan,nan,nan,nan,nan,nan,0.0502,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.5073,0.0248,0,10000,0.0001,1.0,9.2311,0.00642348,0.00634912,0.00213659,nan,0.00095442,3.90015e-05,0.000915419,0.6,5.53866
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.0001,5,0.6,1,100000000,nan,nan,nan,nan,nan,nan,nan,0.0382,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.4679,0.0241,0,10000,0.0001,1.0,9.33852,0.00577716,0.00571028,0.00192161,nan,0.000858387,3.50772e-05,0.00082331,0.6,5.60311
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,1e-05,5,0.6,2,0,nan,nan,nan,nan,nan,nan,nan,0.9999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,1.0,0.0001,5018,4982,0.1372,0.0198,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,1e-05,5,0.6,2,10000000,nan,nan,nan,nan,nan,nan,nan,0.4082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.7875,0.0034,11,9989,0.0011,0.9989,7.19244,0.00671504,0.00606882,0.00301874,nan,8.91039e-05,0.000260643,-0.000171539,0.6,4.31546
